Interface,Variant,Q1 Answer,Q1 Time (s),Q1 Correct,Q2 Answer,Q2 Time (s),Q2 Correct,Q3 Answer,Q3 Time (s),Q3 Correct,Q4 Answer,Q4 Time (s),Q4 Correct,Q5 Answer,Q5 Time (s),Q5 Correct,Q6 Answer,Q6 Time (s),Q6 Correct,Q7 Answer,Q7 Time (s),Q7 Correct,Q8 Answer,Q8 Time (s),Q8 Correct,Computer science experience,Python programming experience,Jupyter notebook experience
Colormap,First out-of-order,98,45.497,FALSE,3,40.294,TRUE,88,24.592,FALSE,720,46.741,TRUE,54,35.682,FALSE,0,10.627,FALSE,6,34.672,FALSE,360,50.544,FALSE,>3 years,1-3 years,<1 year
Default,First in-order,98,38.236,TRUE,3,54.122,FALSE,88,17.934,TRUE,6,12.873,FALSE,54,17.942,TRUE,2,44.973,FALSE,2,44.855,FALSE,512,18.23,FALSE,>3 years,>3 years,>3 years
Default,First in-order,98,31.478,TRUE,3,75.347,FALSE,88,13.702,TRUE,720,44.179,FALSE,54,15.782,TRUE,2,53.706,FALSE,3,46.09,TRUE,512,136.225,FALSE,<1 year,1-3 years,1-3 years
Default,First in-order,98,56.344,TRUE,3,54.595,FALSE,88,41.538,TRUE,720,45.902,FALSE,54,28.407,TRUE,2,44.405,FALSE,3,46.9,TRUE,512,150.225,FALSE,>3 years,1-3 years,1-3 years
Default,First in-order,98,29.184,TRUE,3,53.492,FALSE,88,14.995,TRUE,720,31.453,FALSE,162,27.475,FALSE,2,95.321,FALSE,3,42.824,TRUE,512,68.839,FALSE,>3 years,<1 year,<1 year
Default,First out-of-order,98,115.546,FALSE,3,21.821,TRUE,88,17.527,FALSE,720,10.667,TRUE,54,37.306,FALSE,2,21.047,TRUE,3,40.975,FALSE,9,15.149,FALSE,>3 years,>3 years,1-3 years
Default,First out-of-order,98,37.247,FALSE,3,37.138,TRUE,88,98.391,FALSE,720,100.015,TRUE,54,27.441,FALSE,2,28.755,TRUE,3,755.398,FALSE,512,19.001,TRUE,>3 years,>3 years,>3 years
Default,First in-order,98,45.547,TRUE,3,32.807,FALSE,88,28.444,TRUE,720,71.321,FALSE,54,29.417,TRUE,2,65.337,FALSE,3,77.841,TRUE,512,33.022,FALSE,>3 years,>3 years,1-3 years
Default,First out-of-order,98,20.182,FALSE,3,18.558,TRUE,88,7.381,FALSE,720,41.812,TRUE,54,15.703,FALSE,2,19.721,TRUE,3,28.077,FALSE,512,17.707,TRUE,>3 years,>3 years,>3 years
Default,First out-of-order,98,53.426,FALSE,3,130.563,TRUE,88,13.644,FALSE,720,39.13,TRUE,54,36.38,FALSE,2,71.931,TRUE,3,67.394,FALSE,512,26.288,TRUE,>3 years,>3 years,<1 year
Default,First in-order,98,44.363,TRUE,3,19.2,FALSE,88,13.249,TRUE,720,30.097,FALSE,54,35.573,TRUE,2,53.188,FALSE,4.5,45.12,FALSE,512,75.548,FALSE,1-3 years,<1 year,<1 year
Colormap,First out-of-order,98,27.854,FALSE,3,26.37,TRUE,88,27.241,FALSE,720,28.651,TRUE,54,18.921,FALSE,3,32.925,FALSE,3,25.7,FALSE,512,12.238,TRUE,>3 years,>3 years,>3 years
Colormap,First in-order,98,30.838,TRUE,3,17.785,FALSE,88,10.825,TRUE,720,31.452,FALSE,54,25.657,TRUE,2,36.701,FALSE,3,30.646,TRUE,512,15.306,FALSE,>3 years,>3 years,>3 years
Colormap,First out-of-order,98,26.152,FALSE,3,12.1,TRUE,88,24.436,FALSE,720,43.084,TRUE,54,13.063,FALSE,2,32.161,TRUE,1.5,32.278,FALSE,512,28.834,TRUE,>3 years,>3 years,>3 years
Colormap,First in-order,98,33.201,TRUE,3,51.857,FALSE,88,17.505,TRUE,720,46.04,FALSE,54,14.662,TRUE,3,54.95,FALSE,3,34.023,TRUE,512,72.22,FALSE,>3 years,>3 years,>3 years
Colormap,First in-order,98,34.088,TRUE,3,20.601,FALSE,88,11.843,TRUE,720,36.25,FALSE,54,21.923,TRUE,2,50.397,FALSE,3,40.048,TRUE,512,28.851,FALSE,>3 years,>3 years,>3 years
Colormap,First in-order,98,48.619,TRUE,3,46.552,FALSE,88,11.538,TRUE,720,49.287,FALSE,54,23.156,TRUE,2,43.599,FALSE,3,67.554,TRUE,512,16.748,FALSE,>3 years,>3 years,1-3 years
Colormap,First in-order,98,42.789,TRUE,3,52.346,FALSE,88,26.347,TRUE,720,65.249,FALSE,54,68.86,TRUE,2,63.129,FALSE,3,44.855,TRUE,512,44.329,FALSE,>3 years,>3 years,1-3 years
Colormap,First out-of-order,98,145.069,FALSE,3,13.221,TRUE,88,19.675,FALSE,720,35.549,TRUE,54,35.009,FALSE,2,56.651,TRUE,3,55.674,FALSE,512,34.502,TRUE,>3 years,>3 years,>3 years
Colormap,First in-order,98,38.234,TRUE,3,56.764,FALSE,88,15.047,TRUE,720,47.236,FALSE,54,32.952,TRUE,2,50.333,FALSE,3,106.5,TRUE,644,52.774,FALSE,<1 year,<1 year,<1 year
